Roman Catholic,Roman Catholic.1,Classification,Orientation,Theology,Polity
Roman Caterlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterrean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Irelad,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbetrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Unitarian Church,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Catolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church Irland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Wesleyn Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Irish Ch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Established Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Ireland Episcopal,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episcoplian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Bresbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Society of Friend,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
Roman Catherolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Iriland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Scotch Church,Church of Scotland,Unknown,Unknown,Unknown,Unknown
Roman R Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Protestant Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Romain Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Presbyterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathlock,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prebesterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Irela,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytearian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catlolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prispeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbetyrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholio,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Pryspeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rom Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epscoplian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Co England,Church of England,Unknown,Unknown,Unknown,Unknown
Prespyterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cattolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholick Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Engd,Church of England,Unknown,Unknown,Unknown,Unknown
Rc Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbypterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbpterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chur of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Christain,Christain,Unknown,Unknown,Unknown,Unknown
Rom Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catolic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteriam,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Wesleyan Methodists,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Prespetrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of E,Church of England,Unknown,Unknown,Unknown,Unknown
E C,Church of England,Unknown,Unknown,Unknown,Unknown
Roman Cathotic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholica,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Wesley Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Church of Irld,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Reformed Presbyterian Church,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Salvationest,Salvationist,Unknown,Unknown,Unknown,Unknown
Methodist C,Methodist,Christianity,Protestant,Trinitarian,Connexional
Prot Epis,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Member Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Mithodist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Presbeterin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catohlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Curch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholique,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholices,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathlics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
No Religion,Atheist,Unknown,Unknown,Unknown,Unknown
C R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathilic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbysterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
P Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcopelion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Ca,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Members of the Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathilick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Religon,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbytrain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbaterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyteria,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholice Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ird,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Ro Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C I Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
U F Church of Scotland,United Free Church of Scotland,Unknown,Unknown,Unknown,Unknown
R Catholi,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Apostolic,Catholic Apostolic,Unknown,Unknown,Unknown,Unknown
Prespytarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chatolic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Agnostic,Agnostic,Unknown,Unknown,Unknown,Unknown
Prot Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathoclic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopolian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episcopalion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Calothic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholis,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congregationist,Congregationalist,Unknown,Unknown,Unknown,Unknown
Jewish Religion,Jewish,Judaism,N/A,N/A,N/A
Roman Catloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
The Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespertain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Episcopal Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Seceder,Seceder Presbyterian,Unknown,Unknown,Unknown,Unknown
Ronan Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Brethren in Christ,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Prespbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Medothist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Roman Cathelice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catholicks,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholes,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeterrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Jews,Jewish,Judaism,N/A,N/A,N/A
Ro C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Friends,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
R Cathole,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church Ireland Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Caholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholica,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
The Brethren,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Ir Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Non Subscribing Presbyterians,Non-Subscribing Presbyterian,Unknown,Unknown,Unknown,Unknown
Roman Catlock,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Israelite,Jewish,Judaism,N/A,N/A,N/A
Presbyterian Protestant,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Episcopalians,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Cathlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespreterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Episcopal Ch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episcopal Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathlic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cacholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman R C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespeterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathoic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespaterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian Known as Brethern,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Roman Cathrlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterrian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Caterlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Reformed Presby,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Prebsyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Ctholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeteryian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Old Church Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church and Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Unitarion,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Rhoman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Chur,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholic Rel,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catcholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chr of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catheolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbertain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian Known as Brethren,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Protestant C of I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathlic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prysbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
C of Engd,Church of England,Unknown,Unknown,Unknown,Unknown
Protestant Epis,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Unitarians,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Roman Cathloce,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman and Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbytirean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Friend,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
Roman Catorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbytrean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catholic religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Roman Caothlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodist N C,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
Roman Catholic Denomination,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopalin,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catolich,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholec,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathoclic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catho,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catchlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant of Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Free Thinker,Free Thinker,Unknown,Unknown,Unknown,Unknown
Lutherian,Lutheran,Christianity,Protestant,Trinitarian,Episcopal
R Cathrolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian General Assembly,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Ch of Eng,Church of England,Unknown,Unknown,Unknown,Unknown
Methodist Wesleyan,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Presbytreian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Congregationalst,Congregationalist,Unknown,Unknown,Unknown,Unknown
Prespeterin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catholice Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C Clergyman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Independents,Independent,Unknown,Unknown,Unknown,Unknown
Preysbeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Known as Brethren,Christian Brethren,Unknown,Unknown,Unknown,Unknown
R Cotholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catochlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholices,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christians,Christian Scientist,Christianity,Restorationist,Nontrinitarian,Congregational
Roman Catholich,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catcholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Protestant Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholic Thank God,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Episcopn,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbitarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant Episcopalian Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathrlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterenian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Chatolice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
I C Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catholic Relig,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Preysbterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chirch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespertion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
General Assembly Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Moravion,Moravian,Unknown,Unknown,Unknown,Unknown
R Catholice Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
N S Presbyterian,Non-Subscribing Presbyterian,Unknown,Unknown,Unknown,Unknown
Prysterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathoric,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ch England,Church of England,Unknown,Unknown,Unknown,Unknown
Rroman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Catlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Romam Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roamin Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Rel,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbryterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathorlic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
