name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
DAWNICA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNIELLE,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWNIS,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNISHIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNLYN,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNN,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWNNE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNSON,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNTAY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNTI,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNWALKER,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWNYA,F,0.077,1.5,0.0,0.0,0.0,0.0,0.026,0.5
DAWOOD,M,0.423,1.18,0.0,0.0,0.01,6.0,0.144,2.393
DAWOUD,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWSAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAWSEN,M,0.385,1.2,0.0,0.0,0.0,0.0,0.128,0.4
DAWSIN,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWSON,M,0.962,39.0,0.27,29.7,0.01,5.0,0.414,24.567
DAWSON,F,0.5,2.46,0.0,0.0,0.01,5.0,0.17,2.487
DAWSYN,M,0.154,1.5,0.0,0.0,0.0,0.0,0.051,0.5
DAWSYN,F,0.538,1.64,0.0,0.0,0.0,0.0,0.179,0.547
DAWSYNN,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAWUD,M,0.077,2.0,0.0,0.0,0.01,6.0,0.029,2.667
DAX,M,0.808,7.24,0.09,8.22,0.01,6.0,0.303,7.153
DAXAN,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXEN,M,0.077,2.5,0.0,0.0,0.0,0.0,0.026,0.833
DAXEUS,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXIMUS,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXIS,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXON,M,0.577,4.13,0.02,5.5,0.01,6.0,0.202,5.21
DAXSEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXSON,M,0.231,1.17,0.0,0.0,0.0,0.0,0.077,0.39
DAXSYN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXTEN,M,0.308,1.62,0.0,0.0,0.0,0.0,0.103,0.54
DAXTER,M,0.115,1.67,0.0,0.0,0.0,0.0,0.038,0.557
DAXTIN,M,0.154,1.75,0.0,0.0,0.0,0.0,0.051,0.583
DAXTON,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXTON,M,0.654,9.82,0.06,13.33,0.01,6.0,0.241,9.717
DAXTYN,M,0.269,1.43,0.0,0.0,0.0,0.0,0.09,0.477
DAXX,M,0.231,1.5,0.0,0.0,0.0,0.0,0.077,0.5
DAXXEN,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAXXON,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXXON,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXYN,M,0.077,1.5,0.0,0.0,0.0,0.0,0.026,0.5
DAXZ,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAXZEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYA,F,0.538,1.86,0.03,5.67,0.01,6.0,0.193,4.51
DAYA,M,0.192,1.2,0.01,6.0,0.0,0.0,0.067,2.4
DAYAAL,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYAAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYAN,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYAN,M,0.154,1.0,0.0,0.0,0.0,0.0,0.051,0.333
DAYANA,F,0.154,1.25,0.0,0.0,0.0,0.0,0.051,0.417
DAYANAND,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYANARA,F,0.192,1.2,0.0,0.0,0.0,0.0,0.064,0.4
DAYANARYA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYANIRA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYANNA,F,0.192,1.2,0.0,0.0,0.0,0.0,0.064,0.4
DAYAVIR,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYCE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYCE,M,0.192,1.0,0.0,0.0,0.0,0.0,0.064,0.333
DAYCEN,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAYCIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYDE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYDEN,M,0.115,1.33,0.0,0.0,0.0,0.0,0.038,0.443
DAYDENCE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYDRIAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYEL,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYELLE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYERLY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYGAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYGEN,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAYIN,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAYJA,F,0.038,2.0,0.0,0.0,0.0,0.0,0.013,0.667
DAYKIAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYKOTA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYKOTA,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAYL,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAYL,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAYLA,F,0.346,2.0,0.0,0.0,0.0,0.0,0.115,0.667
DAYLAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
